# row col ch value
0 0 0 5
0 0 1 49
0 0 2 41
0 0 3 28
0 1 0 27
0 1 1 54
0 1 2 5
0 1 3 44
0 2 0 12
0 2 1 6
0 2 2 33
0 2 3 62
0 3 0 47
0 3 1 48
0 3 2 45
0 3 3 50
0 4 0 32
0 4 1 8
0 4 2 53
0 4 3 28
0 5 0 32
0 5 1 23
0 5 2 11
0 5 3 59
0 6 0 50
0 6 1 41
0 6 2 25
0 6 3 52
0 7 0 34
0 7 1 28
0 7 2 28
0 7 3 14
0 8 0 5
0 8 1 35
0 8 2 56
0 8 3 4
0 9 0 54
0 9 1 52
0 9 2 17
0 9 3 40
0 10 0 10
0 10 1 48
0 10 2 44
0 10 3 22
0 11 0 4
0 11 1 62
0 11 2 28
0 11 3 57
0 12 0 43
0 12 1 49
0 12 2 48
0 12 3 12
0 13 0 23
0 13 1 29
0 13 2 31
0 13 3 2
0 14 0 34
0 14 1 9
0 14 2 47
0 14 3 43
0 15 0 59
0 15 1 47
0 15 2 23
0 15 3 61
0 16 0 26
0 16 1 20
0 16 2 57
0 16 3 23
0 17 0 4
0 17 1 30
0 17 2 50
0 17 3 12
0 18 0 29
0 18 1 8
0 18 2 43
0 18 3 30
0 19 0 21
0 19 1 14
0 19 2 36
0 19 3 42
0 20 0 60
0 20 1 27
0 20 2 10
0 20 3 53
0 21 0 40
0 21 1 44
0 21 2 6
0 21 3 19
0 22 0 49
0 22 1 53
0 22 2 27
0 22 3 51
0 23 0 53
0 23 1 24
0 23 2 57
0 23 3 18
0 24 0 15
0 24 1 43
0 24 2 40
0 24 3 8
0 25 0 53
0 25 1 12
0 25 2 51
0 25 3 0
0 26 0 50
0 26 1 50
0 26 2 49
0 26 3 42
0 27 0 30
0 27 1 45
0 27 2 17
0 27 3 49
0 28 0 35
0 28 1 29
0 28 2 32
0 28 3 36
0 29 0 2
0 29 1 8
0 29 2 15
0 29 3 7
0 30 0 28
0 30 1 42
0 30 2 41
0 30 3 30
0 31 0 54
0 31 1 36
0 31 2 5
0 31 3 48
0 32 0 36
0 32 1 40
0 32 2 36
0 32 3 35
0 33 0 5
0 33 1 35
0 33 2 50
0 33 3 19
0 34 0 38
0 34 1 1
0 34 2 22
0 34 3 27
0 35 0 62
0 35 1 13
0 35 2 17
0 35 3 26
0 36 0 63
0 36 1 54
0 36 2 2
0 36 3 14
0 37 0 52
0 37 1 3
0 37 2 54
0 37 3 18
0 38 0 58
0 38 1 18
0 38 2 27
0 38 3 42
0 39 0 8
0 39 1 35
0 39 2 32
0 39 3 50
0 40 0 63
0 40 1 42
0 40 2 26
0 40 3 26
0 41 0 26
0 41 1 52
0 41 2 20
0 41 3 10
0 42 0 21
0 42 1 1
0 42 2 6
0 42 3 5
0 43 0 49
0 43 1 46
0 43 2 44
0 43 3 29
0 44 0 45
0 44 1 10
0 44 2 57
0 44 3 32
0 45 0 60
0 45 1 9
0 45 2 31
0 45 3 44
0 46 0 31
0 46 1 28
0 46 2 10
0 46 3 24
0 47 0 15
0 47 1 19
0 47 2 43
0 47 3 40
0 48 0 38
0 48 1 23
0 48 2 61
0 48 3 5
0 49 0 21
0 49 1 7
0 49 2 21
0 49 3 61
0 50 0 23
0 50 1 58
0 50 2 31
0 50 3 44
0 51 0 29
0 51 1 17
0 51 2 48
0 51 3 62
0 52 0 16
