net,length_um
_1003_,1414.64
_1116_,1342.98
_1007_,1068.76
_2273_,1044.81
_0931_,1021.46
_1006_,959.46
_1092_,918.13
net13,903.85
_0978_,866.9
net74,852.5
_2586_,817.12
_0963_,784.15
_0986_,756.16
_0857_,713.52
_1726_,701.515
clknet_0_clk,684.11
_0866_,668.35
_1159_,667.1
net946,654.93
_1803_,636.34
net942,617.67
_1108_,607.065
net951,606.42
_2621_,604.35
_1110_,597.015
net943,585.97
net945,584
net944,580.5
_0940_,559.16
_0977_,545.29
net71,544.13
_1033_,542.74
_1735_,532.14
net948,527.25
_1273_,525.04
_2320_,521.65
_1904_,516.53
_2233_,510.305
_2795_,504.43
_1112_,503.935
net947,496.53
_2343_,493.64
_1021_,490.14
_1487_,489.2
_0938_,476.73
_1005_,476.35
net949,466.4
_1356_,457.735
_0946_,456.82
_1611_,454.65
net950,450.68
net63,449.33
_2173_,446.01
_1732_,445.09
clknet_3_2__leaf_clk,438.76
_0947_,430.405
_2006_,428.74
_2009_,425.75
clknet_3_6__leaf_clk,422.89
_1599_,421.175
clknet_3_7__leaf_clk,418.76
_1169_,414.71
_1884_,414.025
clknet_3_1__leaf_clk,413.37
u_pe_array.g_pe_row\[0\].g_pe_col\[3\].u_pe.w_out\[0\],411.81
clknet_3_4__leaf_clk,411.76
_1749_,405.32
_1158_,404.92
_3102_,404.38
net72,402.62
_2987_,395.97
_1167_,393.63
_1301_,391.4
_0939_,389.23
clknet_3_3__leaf_clk,383.63
_1305_,383.33
_1865_,382.375
_2844_,381.79
_1476_,377.765
_2130_,375.03
net62,368.58
_1430_,358.82
_1483_,354.64
_0943_,352.89
_1166_,351.78
clknet_3_0__leaf_clk,351.42
_0983_,350.64
net10,350.06
_2133_,346.51
clknet_3_5__leaf_clk,345.15
u_pe_array.g_pe_row\[1\].g_pe_col\[0\].u_pe.w_out\[0\],343.86
_1426_,341.805
_0930_,338.59
_1109_,338.42
_2016_,336.3
_2491_,335.78
_2499_,330.6
_0879_,329.28
_1882_,328.44
_1750_,327.03
_1883_,326.86
clk,320.3
_1867_,319.74
net16,319.59
_1118_,315
_2268_,311.055
_2636_,308.26
_0933_,305.39
_2143_,302.55
_2128_,297.62
_1605_,296.72
u_pe_array.g_pe_row\[0\].g_pe_col\[1\].u_pe.w_out\[0\],284.35
_1450_,283.88
_1427_,278.605
_1443_,276.34
_2511_,274.2
_3101_,268.95
_2132_,268.36
net18,266.71
_1462_,260.76
_1175_,260.68
u_fsm.psum_shift_en,260.66
net14,258.46
net9,256.46
net3,250.68
_1456_,250.36
_3358_,248.56
_1106_,248.315
_1287_,245.91
_1873_,242.7
_0944_,242.14
_2730_,237.66
_1424_,237.54
u_pe_array.g_pe_row\[2\].g_pe_col\[2\].u_pe.w_out\[0\],235.84
_2661_,233.88
_3354_,233.74
net19,233.52
net21,232.62
_2664_,227.19
net24,226.3
_1310_,221.34
_1597_,220.995
_1423_,220.64
_3362_,220.08
_2639_,219.38
_0934_,219.045
_0869_,218.48
_1731_,217.97
_1453_,216.84
_1468_,216.8
_0988_,215.56
net35,214.78
net1,214.34
_1286_,212.14
_2847_,211.815
_2341_,211.42
_1734_,210.15
_0854_,209.88
_2003_,208.02
net15,205.26
_0949_,204.79
_1728_,204.72
_3347_,203.1
u_pe_array.g_pe_row\[1\].g_pe_col\[1\].u_pe.w_out\[0\],203.01
_1135_,202.83
net6,201.29
_1999_,200.595
_2642_,199.52
net4,192.56
_2629_,191.75
_2853_,190.56
